energy,pretty_formula
-40.51971225,TmNp3
-35.870998,Sm3In
-89.71041072,Sm2AlGe6
-214.90387891,SmHSO5
-94.41783619,SmGe2Pt
-28.81692322,Tl3Os
-93.86369813,SmGd3
-36.73174006,Sm3Au
-129.50379547,Sm2(Ga3Co)3
-170.63993098,Sm2CuAs3O
-38.6587019,YbCo3B2
-171.42066604,Sm2Mn12P7
-119.20256643,Tb2Co3Ge5
-13.27669353,Yb3U
-56.26835971,Sm3Gd
-46.56983276,ZrCo3B2
-147.56654486,Tm3Ni7B2
-258.32357219,Zr9CoMo4
-29.95000806,DyBPd3
-27.30546128,PaNi2Ge
-17.19917591,LaPrIn2
-108.99740511,UCd2O5
-22.17909391,Tl3Bi
-40.47748766,Gd2AgRh
-263.35839576,Lu(BRh)4
-29.96691487,ErBPd3
-8.41022315,Na3Co
-27.53833258,Ho3Pu
-81.58614576,P2S7
-76.94144055,Pa3Mo
-67.21841091,Hf3Pb
-24.02768515,Eu(MgBi)2
-40.59236345,Eu3Re
-16.07908181,Na3Pu
-93.0753783,PmPu3
-98.42882552,Ba2NdNb(CuO4)2
-97.37481016,GdB12
-39.54997927,ZnBi
-86.48146915,EuInNi5
-40.55588653,ErNp3
-19.7552221,CeSm3
-18.33158845,CeYTl2
-93.04248565,ErPu3
-170.41181496,CeGa4Co9
-24.05666495,AcEuAu2
-110.4045574,Nd7Co3
-41.0051966,Er3(In2Co)2
-26.68745721,CdSnSb2
-48.68083677,Ce(CuSb)2
-141.82982665,Ce(FeB)4
-38.524088,CeLu3
-141.58507044,Ce(YS2)3
-107.34205572,LiCeSn
-21.28950938,Ce3Cu
-50.01126832,CeY3
-118.57212587,Er2Co3Ge5
-209.60648763,Ce2HfSe5
-157.10945001,Ce2SnSe4
-160.9217088,CePS
-64.32325232,AgSO4
-159.4022715,Ce4Si3Rh4
-21.90931335,CeZnIn
-19.93187897,SiO2
-52.56068506,UFe3B2
-363.266486,Rb(Zr3Te4)4
-220.63583577,Zn3In2O6
-105.16303557,Mg(InSe2)2
-586.02400111,K3Hf2Se11
-810.97325399,Ta36B4C35
-539.49181618,Sb4S3N6(OF)12
-253.92087392,Na2Al2(SiO4)3
-429.45720123,CrCuN6Cl5
-220.54032781,Pr(NO5)3
-160.2907328,ZnP2NO9
-252.84027877,Sn3PO6
-53.53386353,Ce2MnN3
-15.8048869,CsH3
-17.0096928,BaO2
-8.92803032,BiB
-5.93411217,CdC
-12.58066619,CoNi
-17.37419677,CoMo
-21.5227894,KNdS2
-13.40187102,CeS
-6.1730765,CdC
-23.38831082,KYS2
-19.8250284,KSmSe2
-119.58975661,Ce(P3Ru)4
-10.98989048,DySb
-384.31988127,BaAg(PO3)3
-49.44507909,GeSe2
-78.82294418,Hf3(NiGe)4
-21.39577644,KLuS2
-9.74563917,KNaH2
-15.71378393,InAs
-28.97727008,HfPd3
-38.65819004,HfRu3
-32.21016612,IrN
-14.16656498,InSb
-17.41451875,HoTlTe2
-20.12616578,InPd3
-21.16272225,HoTlS2
-19.29088019,HoAu
-13.85424651,InAgSe2
-18.22289638,HgPt3
-36.63835046,HfPt
-33.0334224,HfPd
-44.03826856,HfOs3
-182.52501467,SnPO4F
-22.6941474,HfAl3
-28.63309377,HfAu
-22.10110714,HfCd
-18.41247858,Ge
-32.07148492,HW
-247.17665214,ZnHCO4
-6.80093027,TlAs
-7.34531863,TlP
-8.86958659,TlN
-41.38784795,HfIr
-38.29503556,TbTiGe
-19.43723328,CoW
-23.43713594,GaCo2Ni
-28.35560994,GaBN2
-23.20905735,GaN
-29.73323018,FeCo3
-31.04586263,Fe3Ni
-25.71570565,FeNi3
-26.09105429,FeNi3
-12.03622002,Ga
-31.00063467,Fe3Ni
-31.76696311,FeB
-40.03117826,TbAgGe
-25.78220256,EuTlS2
-17.3020187,ErH
-17.36816116,ErTlTe2
-17.46905059,DyTlTe2
-26.03211545,NaEuS2
-19.31513592,DyAu
-11.63431235,CuI
-27.03772476,CrNi3
-22.73159082,CrCu2Si
-19.8126479,CrInCu2
-26.99815366,CrNi3
-26.52298426,CrNi3
-3.42512388,Cs
-23.01547743,CrInNi2
-24.49373064,CrH
-11.27195167,NiHg
-183.16155165,PrGeBO5
-9.02959786,CaSe
-30.50828482,CrCo2Si
-29.89396755,CrFe2Sb
-29.52229728,CrFe2Sn
-411.65618946,SnPOF7
-34.45088531,Co3W
-34.03862463,Cr3Ni
-28.41286275,CrCo2As
-34.12951136,Cr3Ni
-32.16006906,Co3Mo
-30.70814908,CrCo3
-36.88636517,Cr3Fe
-2.37667696,Ba
-33.99324827,Cr3Ni
-36.35155373,Cr3Fe
-23.72176098,CrInNi2
-30.72774524,CrCo3
-27.11883217,Co3Ni
-35.15284593,C
-17.96751618,CeH3
-7.3539447,Cl2
-35.57474133,C
-9.23648859,CdTe
-14.74696627,CdSiP2
-13.96016582,CdN
-40.70082572,BW
-19.44430082,BiPd
-6.55241499,CdN
-7.99250787,BiI3
-17.72032925,BeSiP2
-7.14352588,BrCl
-7.38371606,Ca
-23.55000425,BaO
-14.76114123,Be
-16.37341114,BaPd
-15.41018687,BaGaSiH
-14.04469349,BaGaCu2
-32.04374064,BC2N
-15.64725971,BeSe
-32.2361144,B2CN
-32.22446498,B2CN
-32.31951145,B2CN
