energy,pretty_formula
-102.32407929,CeSe2
-95.0159055,CeSe2
-64.83065472,CeSe2
-10.73251429,CeSe2
-100.36539563,CeSe2
-69.22350724,CeSe2
-104.31886816,CeSe2
-65.31363308,CeSe2
-67.77855945,CeSe2
-64.72859031,CeSe2
-138.83555284,CeSe2
-34.73005259,CeSe2
-64.82558486,CeSe2
-34.66325864,CeSe2
-129.30517317,CeSe2
-32.32040856,CeSe2
-129.21213673,CeSe2
-68.53386773,CeSe2
-69.65111473,CeSe2
-17.55205466,CeSe2
-64.59736105,CeSe2
-34.23615316,CeSe2
-129.48993284,CeSe2
-135.69812123,CeSe2
-129.4231813,CeSe2
-68.89773068,CeSe2
-53.04760688,CeSe2
-67.92447948,CeSe2
-35.35977618,CeSe2
-103.84154564,CeSe2
-52.47643673,CeSe2
-48.34515713,CeSe2
-258.65914215,CeSe2
-104.60967626,CeSe2
-129.05191206,CeSe2
-388.54815207,CeSe2
-291.09854131,CeSe2
-127.61432988,CeSe2
-128.51116467,CeSe2
-194.57497624,CeSe2
-129.62370688,CeSe2
-387.84310113,CeSe2
-388.16957092,CeSe2
-258.67277459,CeSe2
-129.60971829,CeSe2
-387.92086522,CeSe2
-129.49723758,CeSe2
-193.96757754,CeSe2
-127.04517309,CeSe2
-194.10450175,CeSe2
-259.65782722,CeSe2
-452.66584073,CeSe2
-255.80400843,CeSe2
-194.50887689,CeSe2
-388.12879245,CeSe2
-388.77177371,CeSe2
-11.2118477,Ca3Pb
-48.59904533,SmB2Ir3
-36.3102447,ErInPt4
-25.37820252,DyInCu4
-39.24126531,PrSiPt
-57.6711358,GdCo2
-47.29656165,PuPt5
-47.74462503,ZrTi2
-48.74057554,ThB2Rh2C
-116.89404184,NaYPO4F
-30.19590363,DySnGe
-36.01061419,Ca2CoO3
-35.986192,SmBi2Au
-46.40308032,ScAgGe
-59.67514547,TmSnIr
-42.27539594,NbBr4
-36.27663949,K2Se2O
-31.8296393,YbNi
-66.5762052,Sr2YCoO6
-34.67738189,SrAgTeF
-66.14555559,P4Ru
-61.88090781,UGaPd
-44.31693107,YCu
-31.24604273,V(NCl3)2
-51.0912254,K2OsO6
-49.4300449,AlPt3
-39.89507405,SmZnPd
-46.52987518,TbPd
-20.71186261,KCd4As3
-62.02858469,NdAsRuO
-47.01979019,DyPdPb
-47.92385168,TiCuSiAs
-36.79150291,K2SnN6
-31.36167392,GeTe
-50.65361581,Mo(BrO)2
-87.73504239,HfPOs
-33.79562125,Ba3(CdAs2)2
-57.27010446,Nb2PdS6
-22.50986823,KCd4P3
-49.83127231,HfCuGe2
-73.59851966,Ba2SmOsO6
-24.1788715,Pt(NCl3)2
-36.30061625,FeNCl3
-26.22563963,Zn(BrN)2
-33.86344046,FeH3
-44.68117767,I(NO3)2
-43.22723306,CeSi2Ag
-28.29275506,Sb(Cl3O)2
-64.8351192,BC2N
-52.44846784,NdPt
-74.62449047,TiFeP
-78.33444446,HfGeRu
-51.86688517,PuGa4
-59.01214652,Y3Au2
-61.66664099,ZrGaPt
-66.98123512,GdInAu
-20.72191322,Li2ZnSi
-74.15215457,Sr2TaInO6
-75.13744635,Ca2TiMnO6
-62.20748553,La(GePt)2
-33.56408264,ZnSiAs2
-54.4662575,BaMg(CO2)2
-42.16062279,CuH4(OF)2
-37.67123736,SrF3
-85.48126955,Nd(BOs)2
-70.43389422,HfSnRh
-74.13046414,SrTcO3
-40.03010855,YSn3
-54.34613111,Ho3Ni2
-40.12967214,LaAl5Ni2
-63.58055951,FeB
-69.03367191,Zr6Ga2Fe
-21.79226342,Sn(Br3N)2
-72.73091927,U3Al3NiRu2
-59.36495992,SrTiS3
-54.36935599,PrMnSi2
-70.78407298,Tb(GeIr)2
-59.11082741,U(SiAu)2
-28.60301219,Cs2Li3I5
-31.52904781,Pt(NF3)2
-50.54242767,K2NaVF6
-26.7495435,CuBr4(NO)2
-79.62943609,Np2InPd2
-71.07539437,GdSI
-55.509481,ThAlCo
-62.21471214,La(GePt)2
-32.26986047,CeMgAg
-27.12058314,KO2F
-53.32852776,UNiSb2
-8.55234211,SrHg3
-55.34816954,Ti4H3Pd2
-55.46315664,EuNiGe2
-71.15965834,Nd(GeIr)2
-33.11299873,In(GaAu)2
-41.23070354,NdAlCu
-31.69993564,CaGa2Ni
-68.48075984,USnPt
-55.2331448,Sm(NiSb)2
-43.39388132,PrNiSb2
-20.14905468,Tl3Au
-32.69665461,CsNiBr3
-47.52373891,NdCoGe2
-90.8211334,V3PC
-82.60398794,SrZrO3
-30.81546226,LiB
-36.04619346,HoSn3
-28.05701633,NdCd2Pd
-55.00693621,LaCo5H4
-51.72022833,Sn4Ir
-27.60412328,CdNCl3
-41.66309588,LaCuGe2
-34.61601185,DyAu3
-41.26859836,CaFeAsF
-38.115293,DyInCu
-99.66087641,Gd2CoSi2
-34.0971393,YbAl2Pd
-47.04224858,SmClO2
-66.44260108,Fe7Co
-27.65017839,MgGaAu
-67.02024459,La(SiPt)2
-22.27594041,SrIn3
-51.67222379,InSiCN
-35.91634294,Cs2Mn(Cl2O)2
-29.46934874,CaIn2Ni
-69.65089825,GdAlCu
-36.94055533,Cs2Sb2Pt
-33.15038565,GeH4
-42.19220174,RuF3
-30.81402823,TmZnSn2
-34.43986865,KRhF6
-78.12827944,Si2N3
-43.80842957,YInCu
-70.79658807,Sr2LiReO6
-452.72576082,CeSe2
-290.91886472,CeSe2
-277.58873309,CeSe2
-259.54305156,CeSe2
-388.04116085,CeSe2
-259.01669221,CeSe2
-258.58679263,CeSe2
-194.00971183,CeSe2
-389.15825198,CeSe2
-516.7700783,CeSe2
-388.15838844,CeSe2
-259.48168335,CeSe2
-228.03476667,CeSe2
-290.97961148,CeSe2
-194.04932626,CeSe2
-53.71027539,LaFeSi2
-48.31915594,DyFeGe2
-69.75980091,Y(SiPt)2
-40.29597053,BaCuSF
-20.62935547,Se(NCl3)2
-63.14840978,FeNiP
-48.40615852,LaPdPb
-44.83281519,SiS4
-32.1322184,LiErSn2
-75.60086679,OsC
-85.74152028,Gd2SnAu2
-69.5605632,CrB
-72.49299931,ScPIr
-51.77567195,AlCo3
-64.13416041,Sr2LaCoO6
-84.47154864,Th(BRu)2
-81.34278926,PuPd
-32.48605083,Tl2Se3
-53.90764405,LaFeAsO
-51.08574356,LiTaF6
-24.10898353,YbCdSn
-50.86415188,CsEuS2
-28.12419179,ZnCu2GeTe4
-41.35778706,Tc(NF3)2
-66.25297312,LaNiO3
-34.50443881,LuTe3
-23.34876833,Rb2SnHgTe4
-33.23695174,Cs2Bi2Pd
-88.1217175,Os
-78.01036511,KNp(CO3)2
-54.8666748,U(CuSn)2
-63.88746332,Fe3B
-41.45553135,Ba(CuSb)2
-48.15280563,PrAlPd
-42.83590131,CeCuGe2
-38.62171898,NdAu
-45.10689613,Ho2InAu2
-61.79669364,N2
-33.4983582,LiSmSn2
-55.49100278,Er2Ni2Sn
-32.47838467,Li2AgSn2
-71.40821808,ScSiRu
-54.41286988,Dy(NiSb)2
-83.02205913,Sr2YTaO6
-39.85625061,Nd2CdCu2
-50.64000537,HfCuGeAs
-29.9250516,SnH4
-35.04418551,Zn3CrS4
-42.96225037,SnNF3
-84.69192596,CePRu2C
-75.65858792,Sr2ZrMnO6
-65.5591325,HfCoSn
-88.28110395,Ce(BOs)2
-49.12526741,NiPS3
-66.73452117,Sn2MoOsO6
-73.96533109,Eu3(SF2)2
-40.44384747,PrMgPd
-75.99097314,Sr2ZrCrO6
-44.49134695,Er2CuGe6
-50.21141181,Dy(NiBi)2
-62.19721319,ScAlCO
-23.98932261,Sn(NCl3)2
-44.4985041,CsFeO2
-49.20471711,NaPb2IO6
-34.56866507,ErAu3
-100.46888873,Ta2CrB2
-64.47444559,ZrAlPt
-51.66917719,NpGa4
-62.67632276,Eu(BiPd)2
-49.35958459,LuSnPd
-76.03121449,HfMnGe
-15.5861222,NaCl7
-66.82563503,Pr(AsRh)2
-60.06220856,Ga2O3
-41.32516581,PrInNi2
-61.15709336,Pr2Fe2Se2O3
-26.13936681,K2Re
-35.23105374,YZnSn2
-41.05937253,BaClO3
-48.24628323,HoFeGe2
-32.35797256,LiHoSn2
-63.73854989,ThAlRh
-80.48481972,Sr2GdRuO6
-35.37407973,Sb2Te3
-45.26133301,UCuBi2
-30.61877753,KICl2O
-48.6984518,PuTe3
-82.44692608,TbPRu2C
-46.29998506,PuIn7Pt2
-6.53703386,CsHg
-35.95217766,CuNF3
-69.88347248,Th(CoAs)2
-64.12271438,NdLuS3
-76.5322519,USnIr
-29.81380739,Ag2AsS4N
-53.38777226,TmSnPt
-41.44272794,RbFeS2
-64.7790424,TmSb(PbO3)2
-43.97960154,Lu2InCu2
-66.61017924,ZrSnRh
-89.72258983,Cr3PN
-80.59815578,NbFeB
-58.51730211,Ho2CoGe2
-38.00800679,BaF3
-57.80410523,FeNiAs
-59.7161624,C3NCl
-71.42363508,C
-42.68158387,KCuF3
-68.89056618,Ti6Ge2B
-48.35608203,AsPd2
-28.75990427,Na5As4
-64.98976622,V2GaC
-42.78515427,K3SmN6
-74.80471933,Ba2UPbO6
-95.28994196,Ca3MoN3
-481.53279463,CsMoN2
-81.27320226,Mg3SbN
-477.63902213,KVN2
-496.05478512,KReN2
-495.12860369,RbReN2
-208.2816495,CeSe2
-388.79914897,CeSe2
-141.19195849,CeSe2
-291.0068519,CeSe2
-258.72808103,CeSe2
-259.03423811,CeSe2
-259.10794339,CeSe2
-193.77401863,CeSe2
-259.40713125,CeSe2
-258.62521401,CeSe2
-194.05405871,CeSe2
-191.27969867,CeSe2
-193.91706997,CeSe2
-194.72615102,CeSe2
-258.63389655,CeSe2
-33.66193157,AgSnF6
-50.73254144,V3S4
-42.12051802,TiAgF6
-93.0568219,NaSr4(BN2)3
-164.21636901,SrLiBO3
-39.97325144,NdAgAs2
-37.58728359,VIr3
-76.53234354,RbC
-30.9246766,ZnCu2GeSe4
-27.50182755,NpB2
-88.2658984,RbNd2CuS4
-88.2743115,RbSm2CuS4
-209.02221458,Na2MgInF7
-92.79543493,NaYb(PS3)2
-91.44150784,ZrB12
-63.2168768,Te2Ir
-30.27455518,Te2Ir
-59.17169204,NiAsSe
-57.14117268,NiSbSe
-33.66667536,Ni(N3Cl)2
-62.15601581,TiZn(BiO3)2
-18.11335263,K3Sb
-49.12702145,LaAsRuO
-42.71067887,LaNiSn2
-56.10123984,TbSnRh
-71.08748315,CaBO3
-63.35135172,Cr2InPd2
-70.94384871,MnRe(PbO3)2
-40.35774536,Co(IN2)3
-64.88586434,Zr2InN
-22.17523647,K2BiAu
-44.84327238,Be3P2
-59.7180218,BaNdCo2O5
-58.2113859,ScSnPt
-22.30247619,CsZn4As3
-49.54686722,KAlO2
-30.8045751,NdCdGa
-27.0587263,CaZn3Se4
-75.76816613,Ho(BC)2
-60.13729583,AsPdS
-56.50032082,VGe2
-64.88397331,BaErMn2O5
-75.92689264,Nd(BC)2
-37.97750929,YH3
-26.8518232,YbAu
-31.69101652,PrCdCu
-40.88257637,NdCuGe2
-66.53765166,Nd(SiPt)2
-67.3429746,Sr2CrSbO6
-62.34741919,Nd2Co3
-38.60305108,La3Al
-45.0395168,LaGe
-59.84321887,Fe5Co3
-23.67108366,K2Tc
-64.28307177,Y(GePt)2
-64.5950574,TiZn(BiO3)2
-43.78388448,ErSiAg
-35.61964804,TbTe3
-35.14238425,Ni(ClO3)2
-193.87688555,CeSe2
-57.57974993,AsPdSe
-67.87504612,UOs2
-54.27113995,SbTePd
-71.12414525,SiO2
-77.88699804,La(BC)2
-77.13135992,Pr(BC)2
-77.36377249,Tb(BC)2
-77.17787728,Er(BC)2
-76.96435107,Tm(BC)2
-76.90683867,Lu(BC)2
-22.23717116,TaC
-42.96448672,CeNi2B2C
-0.90139267,Hg
-46.54020565,Ho2Ge6Pd
-40.27188699,Li4Yb5Ge4
-34.73809153,Np(GePd)2
-37.69364634,BaAgSF
-69.40608644,Yb(BC)2
-54.64345493,Tb(NiSb)2
-89.68731555,Nb2FeB2
-20.49685456,RbCd4As3
-51.5800186,NdCoAsO
-74.47309994,Sr2TaInO6
-63.39681428,ScNiC2
-46.66592066,LaSn2Rh
-62.8230045,NiP2W
-50.61793248,MnO3
-35.43751396,DyTe3
-40.06643222,YbCoGe2
-39.46953585,Na2SnO6
-38.14820827,PrPPd
-38.11800955,SmPPd
-3.50635563,S
-10.11311164,SrS
-125.72791307,Zr5ZnSb3
-7.51558056,AlAu
-22.25485476,HfAlAu2
-36.21152163,NaAsF6
-59.57838809,Pr(NiAs)2
-48.12120214,GePt3
-24.07134914,NaAl2Sb
-60.70296884,Er2NiAs2
-89.47091542,Si2Mo3
-39.74925726,Yb2Ge6Pd
-54.36899317,TbNiGe3
-47.23914381,Ba2AsSe4O3
-48.8387768,Y(CuSn)2
-54.30195134,La2InPd2
-192.2045102,CeSe2
-258.890889,CeSe2
-19.43268698,ScAlAu2
-36.99564613,FeCu2GeSe4
-39.81755108,LuZnPd
-46.8510809,PrClO2
-73.92952171,NbCrN2
-24.38973482,K2Mg5Sn3
-74.70489957,La2TcNiO6
-54.26613889,DyNiGe3
-61.97758637,CrCo3
-41.87172368,LuAlAu
-59.7382789,ThCuPO
-50.60588004,YInPd
-34.99862121,PbS
-77.31226594,Hf6Ga2Fe
-48.2237035,InMoS2
-22.38942942,Li2ZnSi
-37.64134076,YbPdPb
-77.6488679,Tc3B
-67.02392028,NpCuPO
-65.09075731,V5Se4
-69.15422472,Ce(AsRh)2
-53.18574271,NiPPd
-49.31517072,NdGe2Rh
-46.53447982,HoPd
-24.80207907,KZn4P3
-72.97812206,U(FeB3)2
-58.79297988,CuGeO3
-78.61659721,Ce(BC)2
-69.38676158,P4Os
-62.26987698,UFeAs2
-34.729227,TmTe3
-41.26384665,Tb2MnGa6
-39.8137018,NdZnPd
-66.11992602,C2BrNO
-47.68720942,TmAlNi
-37.28043495,LiH2N
-37.81397355,CsBO6
-41.78679583,CsLuS2
-63.88922045,CrPPd
-77.06641973,Sm(SiIr)2
-48.12950622,ErFeGe2
-28.50528941,CdCu2SiTe4
-72.0054262,UNiC2
-28.27454545,Zn3CrTe4
-39.22677461,O2
-58.66812355,EuCu
-559.55015001,Cs15W7N19
-193.96826032,CeSe2
-191.78060041,CeSe2
-387.88929406,CeSe2
-194.18849142,CeSe2
-193.13608635,CeSe2
-184.63788963,CeSe2
-44.32989188,Ca3Al7Cu2
-51.76824367,Ca(Al2Cu)4
-72.07228881,Ca(MnAl2)4
-10.15466292,CeAl
-15.68671529,YbGa4
-33.62318215,Ce3AlN
-28.53558759,AlCrCo2
-27.84779288,AlFeCo2
-25.99039687,AlCrNi2
-20.22782761,Al3Cu2
-23.23250379,HfAlCu2
-19.28771255,La3Al
-37.34632276,TiIr3
-13.48541443,LiAl3
-25.63137836,MnAlPd2
-41.77572178,MnAlPt
-27.79406668,MnAlPt2
-30.3624806,MnAlRh2
-32.40206312,Mn2AlV
-77.49213515,Y(MnAl2)4
-32.82693173,PrAl2Ni3
-24.14551903,ScAlNi2
-25.94114174,AlVNi2
-40.98741867,Si
-24.2225849,FeSe
-93.09679871,U2Al3Os
-25.46409784,Al3Pd2
-9.1893877,PrAl
-11.68957279,AlPt
-47.59330221,AlPt
-28.34091089,Al3Pt2
-51.94296164,ZrAlPt2
-24.7783074,PuAl3
-16.21149319,AlRe
-29.43043051,AlRe2
-218.48175374,SmAu6
-37.84252075,Al2Ru
-74.15597458,Sc2Al3Ru
-111.54872302,BaPr2FeS5
-76.99303376,GeO2
-50.54761036,Li(NdSi)2
-46.8090594,K2TcF6
-32.58875362,LiDySn2
-83.5399544,SrTa2O7
-59.98541597,UCoAs2
-38.01766708,LuInAu
-56.61295519,Bi2O3
-35.52993273,NdAl3
-75.53484025,NbCrN2
-35.51153398,PbS
-44.41233952,Sr(ClO)2
-38.92983725,NbTl3S4
-53.78617159,PuAl2Pd5
-58.24551477,Lu2CoGe2
-8.91634104,CaHg3
-60.92268351,EuInPd
-54.49841614,Ca(GePt)2
-25.31666149,BaTl4
-72.873929,PuGaNi
-54.32996918,Ba2NaIO6
-78.75522381,ZrGeOs
-45.0396827,Pr(AlAu)2
-51.68376455,SmCoAsO
-49.63611331,YSiAg
-39.42964153,O2
-216.00855838,K3Cu5O4
-66.84526718,UInRh
-41.14875595,TlFeS2
-64.74056862,UCoP2
-27.43588729,CdCu2SnTe4
-36.80301006,Ge
-36.93627517,SrCuTeF
-31.01185819,AgN
-28.85399509,NClO2
-25.39386859,Rb2PdC2
-26.77167979,Rb2PtC2
-5.8425766,HoHg
-139.4679353,Mg2Co12P7
-42.562608,HoNiSb2
-66.10769613,CeLuS3
-57.57009909,UCuP2
-46.71533851,TbInPt2
-45.35297414,Nd2CuGe6
-40.75919398,Yb2Ge6Pt
-52.99801998,GaSiCN
-81.06794794,Ce(BIr)2
-92.53878112,Mn(BMo)2
-59.2664541,Ti2TlC
-61.18961961,Sm(GePt)2
-43.35539995,Bi2Pt
-38.0828412,DyGa2Pd
-141.92456316,Ca2Co12P7
-51.07593376,La(GaPd)2
-38.03306472,TmInAu
-68.73769411,Sc3IrC4
-72.85213943,Mg(Co3P2)2
-134.61391152,Pr2Se2O
-96.56858214,SrC2(SN)2
-97.32071066,BaC2(SN)2
-13.58255122,ThGe
-39.36569622,TbSF
-39.17192983,HoSF
-39.09946919,ErSF
-30.3368181,Nd2TeS2
-113.42340355,NaErPO4F
-21.02654393,HfGeRh2
-17.35182669,Zr2CuRh
-12.68066487,CaRh2Pb
-7.19069479,TlIn2Pb
-24.63129727,MnV2Re
-3.24078846,Ca2AlZn
-6.7222692,Li2GaBi
-20.41289939,Ti2CoRu
-9.12336807,YAg2Pb
-27.24304971,TaMnOs2
-9.59426533,TlAgPd2
-8.73713477,Y2AlHg
-3.21876633,Ba2AgHg
-8.27270825,Sc2TlZn
-3.85148326,BaHg2Sb
-11.62506297,CaSbPd2
-8.79087489,MgPd2Au
-5.63801593,Mg2CdPt
-15.49445067,Al2OsPt
-6.80165112,NaScTl2
-16.12583386,HfGaPd2
-7.37778126,YZnAg2
-22.99809348,ZrMnRh2
-3.74170468,Li2InHg
-14.32167042,LiYPd2
-7.9411099,Sr2AgPd
-5.46251956,Ba2TlGa
-7.99916433,CsRbAu2
-4.65616695,LiMgGa2
-1.7789414,BaSrCa2
-11.81854937,Y2CdPd
-7.45885212,YZn2Pd
-5.9621904,Li2ZnPd
-15.13377764,LiFePt2
-8.45076683,CaAgAu2
-24.32292555,Zr2ReIr
-22.95818541,Hf2TiIr
-13.93461571,MnCuAu2
-8.61511865,Y2CdIn
-19.36938025,BeVIr2
-5.3550892,Ca2HgBi
-9.44093322,Mg2IrPd
-6.25957613,Li2YIn
-12.01859125,ZrCuAu2
-5.21408139,Ba2CdGe
-4.45758589,Na2HgBi
-8.1933298,LiCu2Ni
-24.20146475,Hf2VTc
-7.54281434,La2HgAu
-12.01981061,MgSnPt2
-13.37725299,ZnSbRu2
-24.34448103,Ta2OsPd
-24.72694568,HfNbRu2
-7.53912514,Li2SnBi
-9.30187562,Y2ZnCu
-6.83500175,Cd2RhAu
-11.6892629,ScPbAu2
-14.52981788,MnZnCo2
-4.08839641,InHg2Bi
-21.27219601,Y2IrPt
-23.13934707,SiTc2Mo
-2.2082976,LiCa2Zn
-5.31850991,Ba2ZnPb
-3.15195098,Ba2ZnIn
-7.9297272,Tl2HgSe
-8.5169224,ScCu2Hg
-22.79554426,Hf2MnCo
-9.6238452,La2GaCu
-6.73307579,NaIn2Pb
-8.92701636,LiY2Tl
-6.43354891,Li2CdRh
-18.44835879,Y2IrAu
-8.50222612,Y2AgHg
-25.9215866,Hf2MnOs
-1.04183448,SrMgHg2
-9.45192093,Cu2PtAu
-7.68143093,Cu2AgAu
-8.37097557,ScTlAg2
-8.03350315,BaNaAu2
-10.58828845,Ca2PAu
-15.00826171,Al2TcPt
-5.0269734,LiHg2Pt
-20.91023792,CrTc2Ge
-10.79108859,Ga2CuPd
-6.43168067,Cd2PtAu
-26.95316989,Ta2NbRe
-15.57391565,BeFePt2
-15.50657594,MnAl2Fe
-11.91559011,LiGe2Rh
-3.50962818,BaHg2Bi
-10.60616848,NaY2Pb
-5.38407377,KNa2As
-1.36317737,BaSrMg2
-22.14291514,NbTc2Sb
-3.81507325,NaCdIn2
-14.21370096,YTlPd2
-22.9984159,Zr2TcMo
-2.85724908,LaMg2Cd
-10.19566059,MgGaCo2
-6.60030507,Li2HgPt
-15.68853933,LiScRh2
-16.51487891,Sc2CoNi
-14.99603489,Sc2CdRu
-18.11569421,Ti2AlW
-13.42932422,SnRh2Au
-6.83168032,MgZnNi2
-13.36836777,MnZnNi2
-15.05483445,MnPd2Au
-16.25435275,CuSiIr2
-7.78308509,In2GaSn
-22.46315163,HfTiRh2
-9.17503964,Y2CuHg
-14.19987812,Y2CuNi
-9.35065116,Ca2AgRh
-16.66073073,ScBePt2
-26.45195889,HfTaRu2
-4.24614617,Ca2AlTl
-3.23188456,LiMg2In
-18.56707152,Zr2CuIr
-5.08615713,CaMgAg2
-7.05480531,LiCa2Pd
-5.82677859,Sr2AgPb
-19.43469335,Zr2CoPt
-25.83306764,HfMnIr2
-8.81050921,LaYTl2
-3.52354499,Ca2CdAg
-20.59953039,Zr2FePt
-5.32256247,LiHg2Rh
-2.80573818,NaLi2Hg
-3.18474678,Ba2CdIn
-8.29532514,LiCaAu2
-7.95647368,Mg2CuPt
-9.5021779,LiSiAu2
-10.90908086,Ca2PH
-4.57327851,LiAg2Hg
-19.41107583,Hf2ZnOs
-10.76081561,TiGaCu2
-15.704339,MgCrPt2
-6.21520832,CaInAg2
-6.85330514,MgSc2Zn
-9.67564775,ZnInPd2
-11.68617933,BeAlPd2
-23.76662608,HfTaFe2
-19.46062737,ZrGaRu2
-22.51704799,Ti2OsRh
-4.9487394,CaCdAg2
-11.14267384,YTlAu2
-6.46980796,LiLa2In
-25.3072564,Ta2FeRu
-8.143713,Li2SiAu
-12.57548376,HfTlAu2
-4.80436265,Ba2CdSn
-21.38908082,SiTc2P
-3.29845595,Ca2MgAl
-5.25316759,LaYCd2
-15.12449185,Y2CoCu
-1.91164638,LiMgHg2
-16.57987679,CaYPt2
-10.33166329,NaSbPd2
-4.91163288,KTl2In
-8.06267554,Zr2ZnCd
-6.61743233,NaTl2Sn
-6.28028637,K2HgSe
-17.55448869,HfScNi2
-24.65346861,TiVOs2
-19.64315416,Ti2MoPd
-10.07477378,ScCu2Ag
-13.04921555,YPtAu2
-17.00943615,BeSiTc2
-8.53935308,Sc2AlHg
-4.48457931,Mg2InPb
-23.90510679,V2ReRh
-11.19699014,TiBeAu2
-12.77303397,YPdAu2
-10.30880021,Sc2AlIn
-9.8339941,Cs2AuCl
-7.95848429,MgBe2Pt
-14.90717931,Al2TcRh
-6.61614178,ScHg2Pd
-17.44548415,BeCrFe2
-5.68504136,La2AgHg
-22.36183844,MnSiOs2
-19.98343648,CrSnRu2
-11.40510342,BiPd2Au
-5.31553041,LiMg2Au
-3.79660764,Ba2LiIn
-14.11927148,HfPtAu2
-11.15862361,CdRh2Pb
-18.31634939,Ti2SnMo
-15.27428362,Y2PdAu
-4.54974017,Sr2LiPb
-6.92411631,CaYTl2
-1.28218058,Sr2MgCd
-22.99526029,Hf2CoRh
-22.45971545,TaGeRu2
-5.51649218,ZrAgHg2
-22.59034513,ScVTc2
-5.90809695,NaLi2Au
-19.65791957,Hf2FeCu
-9.19343428,ScAg2Sn
-10.13756978,ZnGaPd2
-6.55330177,NaAg2Pd
-14.19503465,CdFeRh2
-8.7040991,Rb2AuI
-10.18633693,BeCuPd2
-10.91284332,ScAgAu2
-19.13157494,CaHfRh2
-19.25111147,TiGeRh2
-0.84027293,MgCdHg2
-20.9519593,YScRu2
-3.10794459,CaCd2Ag
-18.59112819,CrSnRh2
-14.08741942,ZrTiAu2
-5.87827102,MgZn2Ir
-4.74443371,K2RbBi
-21.43198008,Sc2OsRu
-4.14331708,KNa2Pb
-16.76399967,YTlRh2
-4.79838655,Ba2ZnSn
-12.43746832,HfAgAu2
-3.0548064,Ca2ZnIn
-15.49694184,Sc2TlMo
-20.38097,MnV2Fe
-23.42905737,TiCrTc2
-16.36467301,MnGaPd2
-3.19142012,Sr2ZnAg
-8.11021083,Li2CuAu
-16.43732962,Sc2BeOs
-17.58935553,ScSi2Tc
-1.62196194,NaCaHg2
-3.85578778,Mg2ZnCu
-11.7476805,BeHPt2
-15.0731103,YAlPd2
-3.46527163,KNa2Tl
-23.24523696,Nb2CrRu
-6.72082504,Y2CdHg
-6.24165276,NaTl2Au
-8.82605709,MgAlAu2
-5.22743569,Ba2TlIn
-23.44019137,V2FeRe
-11.86286207,Y2AgAu
-6.85687631,Mg2AgPd
-12.75444622,Al2CuIr
-13.87312591,Ga2TcPd
-20.23483119,Mn2AlTc
-17.08449039,Ti2BeTc
-12.01514021,ZnSnRh2
-11.136636,CaInPd2
-6.5995183,SrCaPb2
-10.38371891,TiBe2Pd
-4.94666351,MgZrZn2
-3.51237577,NaCa2Al
-7.96376341,YZn2Pt
-21.34762559,Sc2OsRh
-8.28195021,LiAgPd2
-22.09359916,Ti2MoRu
-7.96669647,LiAgAu2
-21.39779318,Zr2CoIr
-23.68309673,ScVOs2
-11.23031612,Be2CoRh
-3.14610094,NaHg2Pb
-16.19158037,MnAl2Ir
-10.09101289,Y2CdAu
-20.02581205,TaInRh2
-21.02653071,CrGaTc2
-3.96978845,NaMgIn2
-6.29167917,Li2ScIn
-24.30407836,Hf2FeRu
-4.51350235,Cs2HgAu
-6.13221155,LiCd2Ir
-4.66129525,LiScCd2
-9.89332498,Ca2CuRh
-12.75440632,Sc2TlNi
-14.69376751,ScPd2Pb
-1.26053633,CaMgCd2
-8.3632603,Ba2AgPd
-6.07657836,SrMgPb2
-23.60489365,Hf2FeRh
-16.63409733,LiZr2Ru
-23.83502893,Hf2VIr
-14.17658597,CaYPd2
-4.04865342,Sr2ZnSn
-18.42430328,ZrCuRh2
-8.47256435,CdCu2Rh
-19.46237827,Hf2ReHg
-7.22031645,La2ZnCu
-7.63636743,La2HgPb
-16.23300732,Sc2InTc
-10.93781634,MnZn2Rh
-15.73858888,La2GaIr
-11.95731947,Y2InPb
-4.74372867,YInHg2
-19.82360103,MnFe2Ge
-23.07106588,Zr2MoIr
-3.6800376,Li2TlZn
-17.97494816,CrGaRh2
-16.55509858,TiBePt2
-11.5671669,HfGaCu2
-9.64401155,Ba2PdAu
-9.10302801,SrLaAu2
-26.38077686,Nb2ReW
-7.20079594,NaScIn2
-11.15406666,ZrBe2Pt
-19.48359433,YScPt2
-6.76705006,Sc2ZnCd
-9.87025012,BeCdPt2
-1.42299251,Ca2MgCd
-5.01658372,MgTiZn2
-18.23616488,Y2RuAu
-7.66245783,TlIn2Bi
-5.7980235,Li2GaAg
-10.00954568,Ba2BiBr
-20.27352829,CrSi2Tc
-22.941521,Hf2TcNi
-21.70427904,AlRu2W
-22.28279863,Sc2IrOs
-17.65422277,GaTc2Ge
-11.8219889,YPbAu2
-18.28355549,MgMoRu2
-10.21017456,ZrZnAu2
-22.75395917,Mn2SiW
-10.92405535,ZnCo2Sn
-6.36148245,Cs2HgSe
-11.18711756,ZrAgAu2
-10.80312839,CaTlPd2
-4.93872471,Ca2CdGe
-5.29556483,MgZn2Rh
-9.88746456,ScZnAu2
-17.16541975,YTiPd2
-12.1232685,CaInRh2
-7.18234744,CaHgAu2
-19.91838713,Mn2GaMo
-18.06685572,ScAlRu2
-4.15464496,La2MgZn
-26.05423168,Ta2MnRu
-6.64791664,La2AlZn
-24.23985306,Nb2CrTc
-4.49721734,Li2ZnAg
-3.67635914,Li2TlCd
-8.98215709,AlZnNi2
-22.44745305,TaInOs2
